C1=CC=C(C=C1)C(CN)O	[Compound(1000)]	2-amino-1-phenylethanol
C1[C@H]([C@@H](C([C@@H]([C@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)[NH3+]	[Compound(71296177)]	[(1R,2S,4R,5S)-5-azaniumyl-3-hydroxy-2,4-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]cyclohexyl]azanium
C[C@@]12CC3=C([C@](C(=N3)/C=C\4/[C@H]([C@]([C@@]([N-]4)([C@H]5[C@@H]([C@@](C(=N5)CC(=N1)C(=C2CC(=O)[O-])CCC(=O)[O-])(C)CCC(=O)[O-])CC(=O)[O-])C)(C)CC(=O)[O-])CCC(=O)[O-])(C)CC(=O)[O-])CCC(=O)[O-].[Co]	[Compound()]	None
C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1[NH3+])O[C@@H]2C(=O)[C@H]([C@@H]([C@H](O2)C[NH3+])O)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)[NH3+])O)[NH3+]	[Compound(71296188)]	[(1R,2S,3R,4R,5S)-5-azaniumyl-2-[(2S,3R,4S,5S,6R)-4-azaniumyl-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-[(2R,4S,5S,6R)-6-(azaniumylmethyl)-4,5-dihydroxy-3-oxooxan-2-yl]oxy-3-hydroxycyclohexyl]azanium
C1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C([O+]=C4C=C(C=C(C4=C3)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)COC(=O)CC(=O)O)O)O)O)O)C6=CC(=C(C=C6)O)O)COC(=O)/C=C/C7=CC=C(C=C7)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)O)O)O)O	[Compound(71296190)]	3-[[(2R,3S,4S,5R,6S)-6-[2-(3,4-dihydroxyphenyl)-3-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-[[(E)-3-[4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]prop-2-enoyl]oxymethyl]-3-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyoxan-2-yl]oxy-7-hydroxychromenylium-5-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methoxy]-3-oxopropanoic acid
CC(=O)N[C@@H]1[C@H](C[C@@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)OC[C@@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)NC(=O)C)O[C@@H]4[C@H]([C@@H](O[C@@H]([C@@H]4O)CO)O)NC(=O)C)CO)O)O)O)O	[Compound(71296192)]	(2R,4S,5R,6R)-5-acetamido-2-[[(2R,3R,4S,5R,6S)-6-[(2R,3S,4R,5R,6R)-5-acetamido-6-[(2R,3R,4R,5R,6R)-3-acetamido-2,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxy-4-hydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methoxy]-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid
CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OC[C@H](CO)O)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC	[Compound(71296196)]	[(2S)-2,3-dihydroxypropyl] [(2R)-3-hexadecanoyloxy-2-[(9Z,12Z)-octadeca-9,12-dienoyl]oxypropyl] phosphate
CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OC[C@H](CO)O	[Compound(71296201)]	[(2S)-2,3-dihydroxypropyl] [(2R)-2-hexadecanoyloxy-3-tetradecanoyloxypropyl] phosphate
CCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])[O-]	[Compound(71296208)]	[(2R)-3-hexadecanoyloxy-2-octadecanoyloxypropyl] phosphate
CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])[O-])OC(=O)CCCCCCCCCCCCC	[Compound(71296209)]	[(2R)-3-hexadecanoyloxy-2-tetradecanoyloxypropyl] phosphate
CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OC[C@H](CO)O)O	[Compound(71296221)]	[(2S)-2,3-dihydroxypropyl] [(2R)-2-hydroxy-3-octadecanoyloxypropyl] phosphate
CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OC[C@H](CO)O)OC(=O)CCCCCCC/C=C\CCCCCCCC	[Compound(71296224)]	[(2S)-2,3-dihydroxypropyl] [(2R)-3-octadecanoyloxy-2-[(Z)-octadec-9-enoyl]oxypropyl] phosphate
CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])[O-])OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC	[Compound(71296225)]	[(2R)-3-hexadecanoyloxy-2-[(5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoyl]oxypropyl] phosphate
CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OC1[C@@H]([C@H](C([C@H]([C@H]1O)O)O)O)O)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC	[Compound(71296226)]	[(2R)-3-hexadecanoyloxy-2-[(5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoyl]oxypropyl] [(2R,3S,5R,6R)-2,3,4,5,6-pentahydroxycyclohexyl] phosphate
CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC1[C@@H]([C@H](C([C@H]([C@H]1O)O)O)O)O)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC	[Compound(71296227)]	[(2R)-1-hexadecanoyloxy-3-[hydroxy-[(2R,3R,5S,6R)-2,3,4,5,6-pentahydroxycyclohexyl]oxyphosphoryl]oxypropan-2-yl] (5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoate
CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OC1[C@@H]([C@H](C([C@H]([C@H]1O)O)O)O)O)OC(=O)CCCCCCCCCCCCCCC	[Compound(71296228)]	[(2R)-2,3-di(hexadecanoyloxy)propyl] [(2R,3S,5R,6R)-2,3,4,5,6-pentahydroxycyclohexyl] phosphate
CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OC1[C@@H]([C@H](C([C@H]([C@H]1O)O)O)O)O)OC(=O)CCCCCCC/C=C\CCCCCCCC	[Compound(71296231)]	[(2R)-3-hexadecanoyloxy-2-[(Z)-octadec-9-enoyl]oxypropyl] [(2R,3S,5R,6R)-2,3,4,5,6-pentahydroxycyclohexyl] phosphate
CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OC1[C@@H]([C@H](C([C@H]([C@H]1O)O)O)O)O)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC	[Compound(71296233)]	[(2R)-3-hexadecanoyloxy-2-[(9Z,12Z)-octadeca-9,12-dienoyl]oxypropyl] [(2R,3S,5R,6R)-2,3,4,5,6-pentahydroxycyclohexyl] phosphate
C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O)NC(=O)C)O)O)O)O)O	[Compound(71297234)]	N-[(3R,4R,5S,6R)-2,4,5-trihydroxy-6-[[(2R,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-3-yl]acetamide
C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@H]2[C@@H]([C@H](OC([C@@H]2NC(=O)C)O)CO)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O[C@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO[C@@H]5[C@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)NC(=O)C)O)O[C@@H]7[C@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)O[C@H]8[C@@H]([C@H]([C@@H](CO8)O)O)O)O)NC(=O)C)O)O)O	[Compound(71297421)]	N-[(2S,3R,4R,5S,6R)-2-[(2S,3S,4S,5S,6R)-2-[[(2R,3R,4S,5S,6S)-6-[(2R,3S,4R,5R,6S)-5-acetamido-6-[(2R,3S,4R,5R)-5-acetamido-6-hydroxy-2-(hydroxymethyl)-4-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-3-yl]oxy-4-hydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-3-hydroxy-4-[(2R,3S,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-5-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyoxan-2-yl]methoxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide
C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@H]2[C@@H]([C@H](OC([C@@H]2NC(=O)C)O)CO)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O[C@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO[C@@H]5[C@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O[C@@H]6[C@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)NC(=O)C)O[C@H]8[C@@H]([C@H]([C@@H](CO8)O)O)O)O)NC(=O)C)O)O)O	[Compound(71297422)]	N-[(2S,3R,4R,5S,6R)-2-[(2R,3S,4S,5S,6R)-2-[(2S,3S,4S,5R,6R)-2-[(2R,3S,4R,5R,6S)-5-acetamido-6-[(2R,3S,4R,5R)-5-acetamido-6-hydroxy-2-(hydroxymethyl)-4-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-3-yl]oxy-4-hydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-5-hydroxy-6-[[(2S,3S,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-3-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyoxan-4-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide
CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)NC(=O)C)O[C@H]3[C@H]([C@@H]([C@H](O[C@@H]3OC[C@@H]4[C@H]([C@@H]([C@@H]([C@@H](O4)O[C@@H]5[C@H](O[C@H]([C@@H]([C@H]5O)NC(=O)C)O[C@@H]6[C@H](OC([C@@H]([C@H]6O)NC(=O)C)O)CO)CO)O)O[C@@H]7[C@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O[C@H]9[C@@H]([C@H]([C@H]([C@H](O9)CO)O)O)NC(=O)C)O)NC(=O)C)O)CO)O)O)CO)CO)O)O	[Compound(71297464)]	N-[(3R,4R,5S,6R)-5-[(2S,3R,4R,5S,6R)-3-acetamido-5-[(2S,3S,4S,5R,6R)-4-[(2S,3S,4S,5S,6R)-3-[(2S,3R,4R,5S,6R)-3-acetamido-5-[(2S,3R,4R,5R,6R)-3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-[[(2S,3S,4S,5S,6R)-3-[(2S,3R,4R,5S,6R)-3-acetamido-5-[(2S,3R,4R,5R,6R)-3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-3,5-dihydroxyoxan-2-yl]oxy-4-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,4-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide
CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1OC[C@@H]2[C@H]([C@@H]([C@@H]([C@H](O2)OC[C@@H]3[C@H]([C@@H]([C@@H]([C@@H](O3)O[C@@H]4[C@H](O[C@H]([C@@H]([C@H]4O)NC(=O)C)O[C@@H]5[C@H](OC([C@@H]([C@H]5O)NC(=O)C)O)CO)CO)O)O[C@@H]6[C@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)NC(=O)C)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)NC(=O)C)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)NC(=O)C)O)O)CO)O)O	[Compound(71297470)]	N-[(3R,4R,5S,6R)-5-[(2S,3R,4R,5S,6R)-3-acetamido-5-[(2S,3S,4R,5R,6R)-5-[(2R,3R,4R,5S,6R)-3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-[[(2S,3S,4S,5S,6R)-3-[(2R,3R,4R,5S,6R)-3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-[[(2R,3R,4R,5S,6R)-3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-4,5-dihydroxyoxan-2-yl]oxymethyl]-4-[(2R,3S,4S,5S,6R)-3-[(2R,3R,4R,5S,6R)-3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-hydroxyoxan-2-yl]oxy-4-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,4-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide
CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1OC[C@@H]2[C@H]([C@@H]([C@@H]([C@H](O2)OC[C@@H]3[C@H]([C@@H]([C@@H]([C@@H](O3)O[C@@H]4[C@H](O[C@H]([C@@H]([C@H]4O)NC(=O)C)O[C@@H]5[C@H](OC([C@@H]([C@H]5O)NC(=O)C)O)CO)CO)O)O[C@@H]6[C@H]([C@H]([C@@H]([C@H](O6)CO)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)NC(=O)C)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)NC(=O)C)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)NC(=O)C)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)NC(=O)C)O)O)CO)O)O	[Compound(71297484)]	N-[(3R,4R,5S,6R)-5-[(2S,3R,4R,5S,6R)-3-acetamido-5-[(2S,3S,4R,5R,6R)-5-[(2R,3R,4R,5S,6R)-3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-[[(2S,3S,4S,5S,6R)-3-[(2R,3R,4R,5S,6R)-3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-[[(2R,3R,4R,5S,6R)-3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-4,5-dihydroxyoxan-2-yl]oxymethyl]-4-[(2R,3S,4S,5S,6R)-3,5-bis[[(2R,3R,4R,5S,6R)-3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]-4-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-hydroxyoxan-2-yl]oxy-4-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,4-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide
CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@H]2[C@H]([C@@H]([C@H](O[C@@H]2O[C@H]3[C@@H]([C@H](O[C@H]([C@H]3O)O[C@@H]4[C@H](O[C@H]([C@@H]([C@H]4O)NC(=O)C)O[C@@H]5[C@H](OC([C@@H]([C@H]5O)NC(=O)C)O)CO)CO)CO[C@@H]6[C@H]([C@H]([C@@H]([C@H](O6)CO[C@@H]7[C@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)O)O)O)O)CO)O)O)CO)O)O	[Compound(71297515)]	N-[(3R,4R,5S,6R)-5-[(2S,3R,4R,5S,6R)-3-acetamido-5-[(2S,3S,4S,5R,6R)-4-[(2R,3S,4S,5S,6R)-3-[(2S,3R,4R,5S,6R)-3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,5-dihydroxy-6-[[(2S,3S,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2S,3S,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxymethyl]oxan-2-yl]oxy-4-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,4-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide
CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@H]2[C@H]([C@@H]([C@H](O[C@@H]2OC[C@@H]3[C@H]([C@@H]([C@@H]([C@@H](O3)O[C@@H]4[C@H](O[C@H]([C@@H]([C@H]4O)NC(=O)C)O[C@@H]5[C@H](OC([C@@H]([C@H]5O)NC(=O)C)O)CO)CO)O)O[C@@H]6[C@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@H]([C@H]([C@H](O8)CO)O)O)O)O)NC(=O)C)O)CO)O)O)CO)O)O	[Compound(71297543)]	N-[(3R,4R,5S,6R)-5-[(2S,3R,4R,5S,6R)-3-acetamido-5-[(2S,3S,4S,5R,6R)-6-[[(2S,3S,4S,5S,6R)-3-[(2S,3R,4R,5S,6R)-3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-4-[(2R,3S,4S,5S,6R)-3-[(2S,3R,4R,5S,6R)-3-acetamido-4-hydroxy-6-(hydroxymethyl)-5-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,5-dihydroxyoxan-2-yl]oxy-4-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,4-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide
C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O)NC(=O)C)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O[C@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO[C@@H]5[C@H]([C@H]([C@@H]([C@H](O5)CO[C@@H]6[C@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O)O[C@@H]7[C@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)O)O)O[C@@H]8[C@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)NC(=O)C)O)O)NC(=O)C)O)O)O	[Compound(71297638)]	N-[(3R,4R,5S,6R)-5-[(2S,3R,4R,5S,6R)-3-acetamido-5-[(2S,3S,4S,5R,6R)-4-[(2R,3S,4S,5S,6R)-3-[(2S,3R,4R,5S,6R)-3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-[[(2S,3S,4S,5R,6R)-3,5-dihydroxy-4-[(2S,3S,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-[[(2S,3S,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxymethyl]-3,5-dihydroxyoxan-2-yl]oxy-4-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,4-dihydroxy-6-[[(2R,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-3-yl]acetamide
C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)CO)O[C@H]4[C@H]([C@@H]([C@H](O[C@@H]4OC[C@@H]5[C@H]([C@@H]([C@@H]([C@@H](O5)O[C@@H]6[C@H](O[C@H]([C@@H]([C@H]6O)NC(=O)C)O[C@@H]7[C@H](OC([C@@H]([C@H]7O)NC(=O)C)O)CO)CO)O)O[C@@H]8[C@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)O[C@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)C)O)O)O)NC(=O)C)O)CO)O)O)NC(=O)C)O)O)O	[Compound(71297704)]	N-[(3R,4R,5S,6R)-5-[(2S,3R,4R,5S,6R)-3-acetamido-5-[(2S,3S,4S,5R,6R)-4-[(2S,3S,4S,5S,6R)-3-[(2S,3R,4R,5S,6R)-3-acetamido-6-(hydroxymethyl)-5-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-[[(2S,3S,4S,5S,6R)-3-[(2S,3R,4R,5S,6R)-3-acetamido-6-(hydroxymethyl)-5-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-3,5-dihydroxyoxan-2-yl]oxy-4-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,4-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide
CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@@H]2[C@H](OC([C@@H]([C@H]2O)NC(=O)C)O)CO)CO)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO)O)O[C@@H]5[C@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O)O[C@@H]6[C@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O[C@@H]7[C@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O[C@@H]8[C@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)O	[Compound(71297768)]	N-[(3R,4R,5S,6R)-5-[(2S,3R,4R,5S,6R)-3-acetamido-5-[(2S,3S,4S,5R,6R)-4-[(2R,3S,4S,5S,6R)-3-[(2R,3S,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2R,3S,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-[[(2S,3S,4S,5R,6R)-3,5-dihydroxy-6-(hydroxymethyl)-4-[(2R,3S,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxymethyl]-3,5-dihydroxyoxan-2-yl]oxy-4-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,4-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide
CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@@H]2[C@H](O[C@H]([C@H]([C@H]2O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O[C@H]5[C@@H]([C@H]([C@H]([C@H](O5)CO)O)O)O)O)NC(=O)C)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O[C@H]7[C@@H]([C@H]([C@H]([C@H](O7)CO)O)O)O)O)NC(=O)C)O)O[C@@H]8[C@H](O[C@H]([C@@H]([C@H]8O)NC(=O)C)O[C@@H]9[C@H](OC([C@@H]([C@H]9O)NC(=O)C)O)CO)CO)CO[C@@H]1[C@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)O)NC(=O)C)CO)O)O	[Compound(71297894)]	N-[(3R,4R,5S,6R)-5-[(2S,3R,4R,5S,6R)-3-acetamido-5-[(2S,3S,4R,5R,6R)-5-[(2S,3R,4R,5S,6R)-3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-[[(2S,3S,4S,5S,6R)-3-[(2S,3R,4R,5S,6R)-3-acetamido-4-hydroxy-6-(hydroxymethyl)-5-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-4-[(2R,3S,4S,5S,6R)-3,5-bis[[(2S,3R,4R,5S,6R)-3-acetamido-4-hydroxy-6-(hydroxymethyl)-5-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy]-4-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-hydroxyoxan-2-yl]oxy-4-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,4-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide
